Fach;Klasse;Fehlstd.;Fehlmin.;Unentsch. Fehlstd.;Unentsch. Fehlmin.
AM;4cWI;2;115;2;100
AM;4cWI;5;266;0;16
AM;4cWI;4;200;1;50
AM;4cWI;2;100;0;0
AM;4cWI;16;800;11;550
AM;4cWI;9;461;3;161
AM;4cWI;1;56;0;6
AM;4cWI;7;350;1;50
AM;4cWI;7;334;0;0
AM;4cWI;9;450;1;50
AM;4cWI;9;437;2;87
AM;4cWI;5;250;0;0
AM;4cWI;6;289;1;50
AM;4cWI;6;300;1;50
AM;4cWI;6;319;1;69
AM;4cWI;4;200;1;50
AM;4cWI;2;100;0;0
AM;4cWI;1;50;0;0
AM;4cWI;4;200;1;50
AM;4cWI;3;162;1;62
AM;4cWI;4;200;0;0
AM;4cWI;5;250;0;0
AM;4cWI;10;500;5;250
AMEC_aut_a;4cWI;1;50;0;0
AMEC_aut_a;4cWI;10;500;0;0
AMEC_aut_a;4cWI;1;50;0;0
AMEC_aut_a;4cWI;4;200;1;50
AMEC_aut_a;4cWI;19;950;10;500
AMEC_aut_a;4cWI;7;350;2;100
AMEC_aut_a;4cWI;4;200;2;100
AMEC_aut_a;4cWI;5;250;1;50
AMEC_aut_a;4cWI;5;250;0;0
AMEC_aut_a;4cWI;6;300;0;0
AMEC_aut_a;4cWI;7;350;1;50
AMEC_aut_a;4cWI;2;100;0;0
AMEC_aut_a;4cWI;10;517;4;200
AMEC_aut_a;4cWI;5;250;1;50
AMEC_aut_a;4cWI;14;700;1;50
AMEC_aut_a;4cWI;1;50;0;0
AMEC_aut_a;4cWI;2;100;0;0
AMEC_aut_a;4cWI;3;150;0;0
AMEC_aut_a;4cWI;9;450;4;200
AMEC_aut_a;4cWI;6;300;3;150
AMEC_aut_a;4cWI;5;250;0;0
AMEC_aut_a;4cWI;4;200;0;0
AMEC_aut_a;4cWI;5;250;0;0
BDDA_1;4cWI;4;200;2;100
BDDA_1;4cWI;13;665;2;100
BDDA_1;4cWI;4;207;2;107
BDDA_1;4cWI;23;1156;17;847
BDDA_1;4cWI;18;875;4;209
BDDA_1;4cWI;6;309;2;109
BDDA_1;4cWI;0;7;0;7
BDDA_1;4cWI;3;145;0;0
BDDA_1;4cWI;9;450;0;0
BDDA_1;4cWI;8;376;2;89
BDDA_1;4cWI;7;340;2;100
BDDA_1;4cWI;10;500;4;200
BDDA_1;4cWI;6;300;2;100
BDDA_1;4cWI;10;500;2;100
BDDA_1;4cWI;2;100;0;0
